,logFC,p-value,-log10(p-value)
0,-0.08011099507580077,0.3417145474600103,0.46633653203786596
1,-0.08453111821280723,0.09357740591538458,1.028828998171935
2,-0.04457575569452876,0.4801579873330498,0.3186158423373797
3,0.021338539912318488,0.18891853622131533,0.7237254280829953
4,-0.008098653665296052,0.941193330072585,0.026321159187192526
5,-0.007404891027316118,0.48813204901453083,0.3114626771760445
6,-0.06272119168866208,0.2727668910349535,0.5642083463083138
7,-0.1293993674765792,0.053186682865090096,1.2741970948140333
8,-0.029286561756485252,0.008889740498926034,2.0511109163671732
9,-0.1427446641781076,0.29014430752593234,0.5373859456382325
10,0.017471961008945325,0.7307417923940193,0.13623605388774132
11,0.01693060730837148,0.46260539992163996,0.3347893020831608
12,0.14752932524802587,0.014446605777884798,1.8402341781731755
13,-0.010070987826360955,0.4098379810676547,0.38738779653571825
14,0.005098945853115211,0.8197310079398351,0.0863286365585399
15,-0.010511703955117913,0.452129774934977,0.3447368916293581
16,0.04416470116339477,0.12035972514843962,0.919518812678819
17,-0.21097925497418757,0.03426703577265529,1.4651234620497804
18,-0.04641709257790483,0.008949004749802737,2.048225261410668
19,0.00557309638311887,0.6174490824519033,0.20939885041148906
20,0.07046633286170945,0.021888638574034957,1.6597812497692679
21,0.009927387457642212,0.7193464051372969,0.14306192239767948
22,-0.08244606036899116,0.1293888966581656,0.8881029904910083
23,-0.06503655482342774,0.23501084249176113,0.628912100597555
24,-0.1443491593404027,0.010337036127217408,1.98560396589501
25,-0.10543181715999772,0.0014071757033064598,2.8516516721371703
26,0.08488048604010112,0.32451220756831906,0.48876896117536134
27,-0.035384514402601486,0.709292582480544,0.14917458181876517
28,-0.044844097614927136,0.004629739874578868,2.334443409459071
29,0.022265928007488167,0.4930616457802118,0.3070987790017203
30,0.10796589310777804,0.14089782471287066,0.8510957118054016
31,0.06257231197390611,0.034539667075969165,1.4616818528648632
32,0.019299961190938575,0.6954682975056776,0.1577226622674055
